B.A TAMIL,B.A ENGLISH,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE,B.Com With COMPUTER APPLICATIONS,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION
C23UG208TAM019,,C23UG208BAD030,C23UG208CAP026,C23UG208COM026,,C23UG208CCA029,C23UG208AID026,C23UG208BIC027,,,C23UG208CSC026,,,C23UG208INT030,C23UG208MIB026,,C23UG208VCN044
C23UG208TAM020,,C23UG208BAD031,C23UG208CAP028,C23UG208COM027,,C23UG208CCA030,C23UG208AID027,C23UG208BIC027,,,C23UG208CSC027,,,C23UG208INT032,C23UG208MIB028,,
,,C23UG208BAD032,C23UG208CAP029,C23UG208COM028,,C23UG208CCA031,C23UG208AID028,C23UG208BIC027,,,C23UG208CSC028,,,C23UG208INT033,C23UG208MIB029,,
,,C23UG208BAD033,C23UG208CAP030,C23UG208COM029,,C23UG208CCA032,C23UG208AID029,C23UG208BIC027,,,C23UG208CSC029,,,C23UG208INT034,C23UG208MIB030,,
,,C23UG208BAD034,C23UG208CAP031,C23UG208COM030,,C23UG208CCA033,C23UG208AID030,C23UG208BIC027,,,C23UG208CSC030,,,C23UG208INT035,C23UG208MIB031,,
,,C23UG208BAD036,C23UG208CAP032,C23UG208COM031,,C23UG208CCA034,C23UG208AID032,C23UG208BIC034,,,C23UG208CSC031,,,C23UG208INT036,C23UG208MIB032,,
,,C23UG208BAD037,C23UG208CAP033,C23UG208COM033,,C23UG208CCA035,C23UG208AID033,C23UG208BIC035,,,C23UG208CSC032,,,C23UG208INT037,C23UG208MIB033,,
,,C23UG208BAD038,C23UG208CAP034,C23UG208COM034,,C23UG208CCA036,C23UG208AID034,C23UG208BIC036,,,C23UG208CSC033,,,C23UG208INT038,C23UG208MIB034,,
,,C23UG208BAD041,C23UG208CAP035,C23UG208COM035,,C23UG208CCA037,C23UG208AID035,C23UG208BIC038,,,C23UG208CSC034,,,C23UG208INT039,C23UG208MIB035,,
,,C23UG208BAD042,C23UG208CAP036,C23UG208COM037,,C23UG208CCA038,C23UG208AID036,C23UG208BIC038,,,C23UG208CSC035,,,C23UG208INT040 ,C23UG208MIB036,,
