B.A TAMIL,B.A ENGLISH,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE, DEPARTMENT OF COMMERCE IT ,DEPARTEMNT OF COMMERCE PA,B.Com With COMPUTER APPLICATIONS,B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc COMPUTER SCIENCE,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION,M.Sc MICROBIOLOGY,M.Com,M.Sc COMPUTER SCIENCE,M.A ENGLISH,M.Sc TFD, M.S.W
C25UG208TAM025,,C25UG208BAD024,C25UG208CAP024,C25UG208COM025,C25UG208ACF024,C25UG208CIT024,C25UG208PAC026,C25UG208CCA026,,,,C25UG208AID025,C25UG208CSC025,C25UG208AML024,C25UG208CCS027,,C25UG208INT024,C25UG208MIB024,,C25UG208VCN028,C25PG208MIB024,,,,,
,,C25UG208BAD025,C25UG208CAP025,C25UG208COM026,C25UG208ACF025,C25UG208CIT025,,C25UG208CCA027,,,,C25UG208AID026,C25UG208CSC026,C25UG208AML025,C25UG208CCS028,,C25UG208INT025,C25UG208MIB025,,C25UG208VCN029,C25PG208MIB025,,,,,
,,C25UG208BAD026,C25UG208CAP026,C25UG208COM027,C25UG208ACF026,C25UG208CIT026,,C25UG208CCA029,,,,C25UG208AID027,C25UG208CSC028,C25UG208AML026,C25UG208CCS029,,C25UG208INT026,C25UG208MIB026,,C25UG208VCN030,C25PG208MIB026,,,,,
,,C25UG208BAD027,C25UG208CAP027,C25UG208COM028,C25UG208ACF027,C25UG208CIT027,,C25UG208CCA031,,,,C25UG208AID028,C25UG208CSC029,C25UG208AML027,C25UG208CCS030,,C25UG208INT027,C25UG208MIB027,,,C25PG208MIB027,,,,,
,,C25UG208BAD028,C25UG208CAP028,C25UG208COM029,C25UG208ACF028,C25UG208CIT028,,C25UG208CCA032,,,,C25UG208AID029,C25UG208CSC030,C25UG208AML028,C25UG208CCS031,,C25UG208INT028,C25UG208MIB028,,,C25PG208MIB028,,,,,
,,C25UG208BAD029,C25UG208CAP029,C25UG208COM030,C25UG208ACF029,C25UG208CIT029,,C25UG208CCA033,,,,C25UG208AID031,C25UG208CSC031,,C25UG208CCS032,,C25UG208INT029,C25UG208MIB029,,,C25PG208MIB029,,,,,
,,C25UG208BAD030,C25UG208CAP030,C25UG208COM031,C25UG208ACF030,C25UG208CIT030,,C25UG208CCA034,,,,C25UG208AID032,C25UG208CSC032,,C25UG208CCS033,,C25UG208INT030,C25UG208MIB030,,,C25PG208MIB030,,,,,
,,C25UG208BAD031,C25UG208CAP031,C25UG208COM032,C25UG208ACF031,C25UG208CIT031,,C25UG208CCA035,,,,C25UG208AID033,C25UG208CSC033,,C25UG208CCS034,,C25UG208INT031,C25UG208MIB031,,,C25PG208MIB031,,,,,
,,C25UG208BAD032,C25UG208CAP032,C25UG208COM033,C25UG208ACF032,C25UG208CIT032,,C25UG208CCA036,,,,C25UG208AID034,C25UG208CSC034,,C25UG208CCS037,,C25UG208INT032,C25UG208MIB032,,,C25PG208MIB032,,,,,
,,C25UG208BAD033,C25UG208CAP034,C25UG208COM034,C25UG208ACF033,C25UG208CIT033,,C25UG208CCA037,,,,C25UG208AID035,C25UG208CSC035,,,,C25UG208INT033,C25UG208MIB033,,,C25PG208MIB033,,,,,
,,C25UG208BAD034,C25UG208CAP035,C25UG208COM035,C25UG208ACF034,C25UG208CIT034,,C25UG208CCA038,,,,C25UG208AID036,C25UG208CSC036,,,,C25UG208INT034,C25UG208MIB034,,,,,,,,
,,C25UG208BAD035,C25UG208CAP036,C25UG208COM036,C25UG208ACF035,C25UG208CIT035,,C25UG208CCA039,,,,C25UG208AID037,C25UG208CSC037,,,,C25UG208INT035,C25UG208MIB035,,,,,,,,
,,C25UG208BAD036,C25UG208CAP037,C25UG208COM037,C25UG208ACF036,C25UG208CIT036,,C25UG208CCA040,,,,C25UG208AID038,C25UG208CSC038,,,,C25UG208INT036,C25UG208MIB036,,,,,,,,
,,C25UG208BAD037,C25UG208CAP038,C25UG208COM038,,C25UG208CIT037,,C25UG208CCA041,,,,C25UG208AID039,C25UG208CSC039,,,,C25UG208INT037,C25UG208MIB037,,,,,,,,
,,C25UG208BAD038,C25UG208CAP039,C25UG208COM039,,C25UG208CIT038,,C25UG208CCA042,,,,C25UG208AID040,C25UG208CSC040,,,,C25UG208INT039,C25UG208MIB038,,,,,,,,
,,C25UG208BAD039,C25UG208CAP040,C25UG208COM040,,C25UG208CIT039,,C25UG208CCA043,,,,C25UG208AID041,C25UG208CSC041,,,,C25UG208INT040,C25UG208MIB039,,,,,,,,
