B.A TAMIL,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE,B.Com With COMPUTER APPLICATIONS,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION,M.Sc MICROBIOLOGY,M.Com,M.Sc COMPUTER SCIENCE,M.A ENGLISH
,C24UG208BAD023,C24UG208CAP021,C24UG208COM029,,C24UG208CCA022,C24UG208AID023,,,,C24UG208CSC024,,,C24UG208INT025,C24UG208MIB024,,,C24PG208MIB023,C24PG208COM024,,
,C24UG208BAD024,C24UG208CAP022,C24UG208COM030,,C24UG208CCA023,C24UG208AID024,,,,C24UG208CSC025,,,C24UG208INT026,C24UG208MIB026,,,C24PG208MIB024,,,
,C24UG208BAD025,C24UG208CAP023,C24UG208COM031,,C24UG208CCA024,C24UG208AID025,,,,C24UG208CSC026,,,C24UG208INT027,C24UG208MIB027,,,C24PG208MIB025,,,
,C24UG208BAD026,C24UG208CAP024,C24UG208COM032,,C24UG208CCA025,C24UG208AID026,,,,C24UG208CSC027,,,C24UG208INT028,C24UG208MIB028,,,C24PG208MIB026,,,
,C24UG208BAD027,C24UG208CAP025,C24UG208COM033,,C24UG208CCA026,C24UG208AID027,,,,C24UG208CSC028,,,C24UG208INT029,C24UG208MIB029,,,C24PG208MIB027,,,
,C24UG208BAD028,C24UG208CAP026,C24UG208COM034,,C24UG208CCA027,C24UG208AID028,,,,C24UG208CSC030,,,C24UG208INT030,C24UG208MIB030,,,C24PG208MIB028,,,
,C24UG208BAD029,C24UG208CAP027,C24UG208COM035,,C24UG208CCA028,C24UG208AID029,,,,C24UG208CSC031,,,C24UG208INT031,C24UG208MIB031,,,C24PG208MIB029,,,
,C24UG208BAD030,C24UG208CAP028,C24UG208COM036,,C24UG208CCA030,C24UG208AID030,,,,C24UG208CSC032,,,C24UG208INT032,C24UG208MIB032,,,C24PG208MIB030,,,
,C24UG208BAD032,C24UG208CAP029,C24UG208COM037,,C24UG208CCA031,C24UG208AID031,,,,C24UG208CSC033,,,C24UG208INT033,C24UG208MIB033,,,C24PG208MIB031,,,
,C24UG208BAD033,C24UG208CAP030,C24UG208COM038,,C24UG208CCA032,C24UG208AID032,,,,C24UG208CSC034,,,C24UG208INT034,C24UG208MIB034,,,C24PG208MIB032,,,
,C24UG208BAD035,C24UG208CAP031,C24UG208COM040,,C24UG208CCA033,C24UG208AID033,,,,C24UG208CSC035,,,C24UG208INT035,C24UG208MIB035,,,C24PG208MIB033,,,
,C24UG208BAD036,C24UG208CAP032,C24UG208COM041,,C24UG208CCA034,C24UG208AID034,,,,C24UG208CSC038,,,C24UG208INT036,C24UG208MIB036,,,,,,
,C24UG208BAD037,C24UG208CAP033,C24UG208COM042,,C24UG208CCA035,C24UG208AID035,,,,C24UG208CSC039,,,C24UG208INT037,C24UG208MIB038,,,,,,
