S.NO,YEAR,SEM,PAPER CODE,DEPARTMENT,TITLE OF THE PAPER,STR,EXAM DATE,SESSION
113,III,VI,23UVE02,B.Com ACCOUNTING AND FINANCE,SE - GENERAL AWARENESS,18,12.02.2026,FN
114,III,VI,23UAFDE07,B.Com ACCOUNTING AND FINANCE,DISPLINE SPECIFIC ELECTIVE 7/8 - INDIAN ACCOUNTING STANADARD,18,12.02.2026,AN
115,I,II,24UFTA02,B.Com With COMPUTER APPLICATIONS,GENERAL TAMIL II,190,10.02.2026,FN
116,I,II,24UFEN02,B.Com With COMPUTER APPLICATIONS,GENERAL ENGLISH II,190,10.02.2026,AN
117,I,II,23UCC03,B.Com With COMPUTER APPLICATIONS,FINANCIAL ACCOUNTING - II,190,11.02.2026,FN
118,I,II,23UCC04,B.Com With COMPUTER APPLICATIONS,BUSINESS LAW,190,11.02.2026,AN
119,I,II,23UCCS01,B.Com With COMPUTER APPLICATIONS,INDUSTRIAL LAW,190,12.02.2026,FN
120,I,II,25UDM01,B.Com With COMPUTER APPLICATIONS,DISASTER MANAGEMENT ,190,13.02.2026,FN
121,I,II,23UTAN02,B.Com With COMPUTER APPLICATIONS,PAYANMURAITH TAMIL,190,13.02.2026,AN
122,II,IV,24UFTA04,B.Com With COMPUTER APPLICATIONS,GENERAL TAMIL IV,127,10.02.2026,FN
123,II,IV,24UFEN04,B.Com With COMPUTER APPLICATIONS,GENERAL ENGLISH IV,127,10.02.2026,AN
124,II,IV,23UCC06,B.Com With COMPUTER APPLICATIONS,CORPORATE ACCOUNTING II,127,11.02.2026,FN
125,II,IV,23UCC07,B.Com With COMPUTER APPLICATIONS,COMPANY LAW,127,11.02.2026,AN
126,II,IV,23UCSA10,B.Com With COMPUTER APPLICATIONS,RELATIONAL DATABASE MANAGEMENT SYSTEM,127,12.02.2026,FN
127,II,IV,23UES01,B.Com With COMPUTER APPLICATIONS,ENVIRONMENTAL STUDIES,127,13.02.2026,AN
128,III,VI,23UCC12,B.Com With COMPUTER APPLICATIONS,COST ACCOUNTING II,120,10.02.2026,FN
129,III,VI,23UCC14,B.Com With COMPUTER APPLICATIONS,MANAGEMENT ACCOUNTING,120,10.02.2026,AN
130,III,VI,23UCCE15,B.Com With COMPUTER APPLICATIONS,ENTREPRENEURIAL DEVELOPMENT,120,11.02.2026,FN
131,III,VI,23UCC13,B.Com With COMPUTER APPLICATIONS,INCOME TAX LAW & PRACTICE II,120,11.02.2026,AN
132,III,VI,23UCCGA01,B.Com With COMPUTER APPLICATIONS,GENERAL AWARNESS FOR COMPETITIVE EXAMINATION,120,12.02.2026,FN
133,I,II,24UFTA02,DEPARTMENT OF COMMERCE IT,GENERAL TAMIL II,64,10.02.2026,FN
134,I,II,24UFEN02,DEPARTMENT OF COMMERCE IT,GENERAL ENGLISH II,64,10.02.2026,AN
135,I,II,25UCIT03,DEPARTMENT OF COMMERCE IT,CORE III - FINANCIAL ACCOUNTING - II,64,11.02.2026,FN
136,I,II,25UCIEP02,DEPARTMENT OF COMMERCE IT,CORE IV -BUSINESS LAW,64,11.02.2026,AN
137,I,II,24UITS02,DEPARTMENT OF COMMERCE IT,SEC 3 - CORPORATE SOCIAL RESPONSIBILITY,64,12.02.2026,FN
138,I,II,NMSDC,DEPARTMENT OF COMMERCE IT,DISESTER MANAGEMENT ,64,13.02.2026,FN
139,I,II,23UTAN02,DEPARTMENT OF COMMERCE IT,NMEC - PAYANMURAI TAMIL,64,13.02.2026,AN
140,I,II,24UFTA02,DEPARTEMNT OF COMMERCE PA,GENERAL TAMIL II,23,10.02.2026,FN
141,I,II,24UFEN02,DEPARTEMNT OF COMMERCE PA,GENERAL ENGLISH II,23,10.02.2026,AN
142,I,II,24UAF03,DEPARTEMNT OF COMMERCE PA,CORE III - FINANCIAL ACCOUNTING - II,23,11.02.2026,FN
143,I,II,24UAF04,DEPARTEMNT OF COMMERCE PA,CORE IV -BUSINESS LAW,23,11.02.2026,AN
144,I,II,24UAFF02,DEPARTEMNT OF COMMERCE PA,FOUNDATION COURSE - INDUSTRIAL LAW,23,12.02.2026,FN
145,I,II,23UECP05,DEPARTEMNT OF COMMERCE PA,ELECTIVE III - COMPUTER APPLICATION BUSINESS ,23,12.02.2026,AN
146,I,II,25UDM01,DEPARTEMNT OF COMMERCE PA,DISESTER MANAGEMENT ,23,13.02.2026,FN
147,I,II,23UTAN02,DEPARTEMNT OF COMMERCE PA,NMEC - PAYANMURAI TAMIL,23,13.02.2026,AN
148,I,II,24UFTA02,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),GENERAL TAMIL II,81,10.02.2026,FN
149,I,II,24UFEN02,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),GENERAL ENGLISH II,81,10.02.2026,AN
150,I,II,23UAD02,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),INTRODUCTION TO PYTHON,81,11.02.2026,FN
151,I,II,23UADS02,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),INTRODUCTION TO HTML,81,11.02.2026,AN
152,I,II,23USTA04,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),EC1-STATISTICAL METHODS AND ITS APPLICATION - II,81,12.02.2026,FN
153,I,II,25UDM01,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),DISASTER MANAGEMENT,81,13.02.2026,FN
154,I,II,23UCMN02,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),ADVERTISING,81,13.02.2026,AN
155,II,IV, 24UFTA04,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),GENERAL TAMIL IV,64,10.02.2026,FN
156,II,IV,24UFEN04,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),GENERAL ENGLISH IV,64,10.02.2026,AN
157,II,IV,23UAD04,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),FUNDAMENTALS OF DATA SCIENCE,64,11.02.2026,FN
158,II,IV,23UADS07,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),OFFICE AUTOMATION,64,11.02.2026,AN
159,II,IV,23UMAA05,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),INTRODUCTION TO LINEAR ALGEBRA,64,12.02.2026,FN
160,II,IV,23UES01,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),ENVIRONMENTAL STUDIES,64,13.02.2026,AN
161,III,VI,23UAD07,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),ROBOTICS PROCESS AUTOMATION ,36,10.02.2026,FN
162,III,VI,23UAD08,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),NATURAL LANGUAGE PROCESSING,36,10.02.2026,AN
163,III,VI,23UADE13,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),GRID COMPUTING,36,11.02.2026,FN
164,III,VI,23UADE14,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),CLOUD COMPUTING ,36,11.02.2026,AN
165,III,VI,23UADS08 ,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),QUANTITATIVE APPTITUDE,36,12.02.2026,FN
166,I,II,24UFTA02,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,GENERAL TAMIL II,27,10.02.2026,FN
167,I,II,24UFEN02,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,GENERAL ENGLISH II,27,10.02.2026,AN
168,I,II,23UAM02,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,PROGRAMMING IN JAVA,27,11.02.2026,FN
169,I,II,23UAMS02,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,OFFICE AUTOMATION,27,11.02.2026,AN
170,I,II,23USTA04,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,EC1-STATISTICAL METHODS AND ITS APPLICATION - II,27,12.02.2026,FN
171,I,II,25UDM01,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,DISASTER MANAGEMENT,27,13.02.2026,FN
172,I,II,23UCMN02,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,ADVERTISING,27,13.02.2026,AN
173,I,II,24UFTA02,B.Sc BIOCHEMISTRY,GENERAL TAMIL II,22,10.02.2026,FN
174,I,II,24UFEN02,B.Sc BIOCHEMISTRY,GENERAL ENGLISH II,22,10.02.2026,AN
175,I,II,23UBC02,B.Sc BIOCHEMISTRY,CELL BIOLOGY,22,11.02.2026,FN
176,I,II,23UCHA04,B.Sc BIOCHEMISTRY,ALLIED CHEMISTY FOR BIOLOGICAL SCIENCES -II,22,11.02.2026,AN
177,I,II,23UBON05,B.Sc BIOCHEMISTRY,HERBAL MEDICINE,22,12.02.2026,FN
178,I,II,23UBCS01,B.Sc BIOCHEMISTRY,FIRST AID,22,12.02.2026,AN
179,I,II,25UDM01,B.Sc BIOCHEMISTRY,DISASTER MANAGEMENT,22,13.02.2026,FN
180,II,IV,24UFTA04,B.Sc BIOCHEMISTRY,GENERAL TAMIL IV,11,10.02.2026,FN
181,II,IV,24UFEN04,B.Sc BIOCHEMISTRY,GENERAL ENGLISH IV,11,10.02.2026,AN
182,II,IV,23UBC04,B.Sc BIOCHEMISTRY,BIOCHEMICAL TECHNIQUES,11,11.02.2026,FN
183,II,IV,23UMBA01,B.Sc BIOCHEMISTRY,FUNDAMENTALS OF MICROBIOLOGY,11,11.02.2026,AN
184,II,IV,23UBCS05,B.Sc BIOCHEMISTRY,MEDICAL CODING,11,12.02.2026,FN
185,II,IV,23UES01,B.Sc BIOCHEMISTRY,ENVIRONMENTAL STUDIES,11,13.02.2026,AN
186,III,VI,23UBC08,B.Sc BIOCHEMISTRY,MOLECULAR BIOLOGY,34,10.02.2026,FN
187,III,VI,23UBC09,B.Sc BIOCHEMISTRY,HUMAN PHYSIOLOGY,34,10.02.2026,AN
188,III,VI,23UBC10,B.Sc BIOCHEMISTRY,PLANT BIOCHEMISTRY& PLANT THERAPEUTICS,34,11.02.2026,FN
189,III,VI,23UBCE04,B.Sc BIOCHEMISTRY,BIOTECHNOLOGY,34,11.02.2026,AN
190,III,VI,23UBCE05,B.Sc BIOCHEMISTRY,BIOINFORMATICS,34,12.02.2026,FN
191,I,II,24UFTA02,B.Sc COSTUME DESIGN AND FASHION,GENERAL TAMIL II,18,10.02.2026,FN
192,I,II,24UFEN02,B.Sc COSTUME DESIGN AND FASHION,GENERAL ENGLISH II,18,10.02.2026,AN
193,I,II,23UCDCT02,B.Sc COSTUME DESIGN AND FASHION,FASHION CLOTHING PHYCOLOGY ,18,11.02.2026,FN
194,I,II,23UCDDE02 ,B.Sc COSTUME DESIGN AND FASHION,APPAREL MANUFACTURING MACHINERIES  & EQUIPMENTS ,18,11.02.2026,AN
195,I,II,25UCDM01,B.Sc COSTUME DESIGN AND FASHION,DISASTER MANAGEMENT ,18,13.02.2026,FN
196,I,II,23UTAN01,B.Sc COSTUME DESIGN AND FASHION,PAYANMURAI TAMIL,18,13.02.2026,AN
197,II,IV,24UFTA04,B.Sc COSTUME DESIGN AND FASHION,GENERAL TAMIL IV,18,10.02.2026,FN
198,II,IV,24UFEN04,B.Sc COSTUME DESIGN AND FASHION,GENERAL ENGLISH IV,15,10.02.2026,AN
199,II,IV,23UCDDCT04 ,B.Sc COSTUME DESIGN AND FASHION,HISTORIC COSTUMES OF INDIA,15,11.02.2026,FN
200,II,IV,23UES01,B.Sc COSTUME DESIGN AND FASHION,ENVIRONMENTAL STUDIES ,15,13.02.2026,AN
201,III,VI,23UCDCT07,B.Sc COSTUME DESIGN AND FASHION,TECHNICAL TEXTILE ,12,10.02.2026,FN
202,III,VI,23UCDDE07,B.Sc COSTUME DESIGN AND FASHION,TEXTILE TESTING & QUALITY CONTROL,12,10.02.2026,AN
203,III,VI,23UCDCT08,B.Sc COSTUME DESIGN AND FASHION,HOME TEXTILE ,12,11.02.2026,FN
204,I,II,24UFTA02,B.Sc CLINICAL LABORATORY TECHNOLOGY,GENERAL TAMIL II,15,10.02.2026,FN
205,I,II,24UFEN02,B.Sc CLINICAL LABORATORY TECHNOLOGY,GENERAL ENGLISH II,15,10.02.2026,AN
206,I,II,23UCT03,B.Sc CLINICAL LABORATORY TECHNOLOGY,HUMAN ANATOMY AND PHYSIOLOGY,15,11.02.2026,FN
207,I,II,23UCT04,B.Sc CLINICAL LABORATORY TECHNOLOGY,MICROBIOLOGY,15,11.02.2026,AN
208,I,II,23UCTA02,B.Sc CLINICAL LABORATORY TECHNOLOGY,ANALYTICAL TECHNIQUES,15,12.02.2026,FN
209,I,II,23UCTS02,B.Sc CLINICAL LABORATORY TECHNOLOGY,SOCIOLOGY PSYCHOLOGY,15,12.02.2026,AN
210,I,II,25UDM01,B.Sc CLINICAL LABORATORY TECHNOLOGY,DISASTER MANAGEMENT,15,13.02.2026,FN
211,I,II,23UCTS03,B.Sc CLINICAL LABORATORY TECHNOLOGY,TISSUE CULTURE TECHNIQUES,15,13.02.2026,AN
212,II,IV,24UFTA04,B.Sc CLINICAL LABORATORY TECHNOLOGY,GENERAL TAMIL IV,13,10.02.2026,FN
213,II,IV,24UFEN04,B.Sc CLINICAL LABORATORY TECHNOLOGY,GENERAL ENGLISH IV,13,10.02.2026,AN
214,II,IV,23UCT06,B.Sc CLINICAL LABORATORY TECHNOLOGY,MEDICAL BIOCHEMISTRY,13,11.02.2026,FN
215,II,IV,23UCTA04,B.Sc CLINICAL LABORATORY TECHNOLOGY,ALLIED COMPUTER SCIENCE,13,11.02.2026,AN
216,II,IV,23UCTS06,B.Sc CLINICAL LABORATORY TECHNOLOGY,FUNDAMENTALS OF RESEARCH METHODOLOGY,13,12.02.2026,FN
217,II,IV,23UES01,B.Sc CLINICAL LABORATORY TECHNOLOGY,ENVIRONMENTAL STUDIES,13,13.02.2026,AN
218,III,VI,23UCT10,B.Sc CLINICAL LABORATORY TECHNOLOGY,CLINICAL LABORATORY TEST AND INTERPRETATION,20,10.02.2026,FN
219,III,VI,23UCT11,B.Sc CLINICAL LABORATORY TECHNOLOGY,MOLECULAR BIOLOGY AND GENETIC ENGNIEERING,20,10.02.2026,AN
